ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2017-06-30,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,,0.00,1353186491.26,644330.61,588269196.54,5131403384.34,15496176.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7088999579.18
2017-06-30,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,,0.00,1297623095.06,639803.72,559905220.68,4964445507.31,15072118.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6837685745.74
2017-06-30,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,,0.00,16073948115.04,30647779.46,1481993198.70,17230148352.29,118677961.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34935415407.03
2017-06-30,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,,0.00,15444831152.17,28901434.95,1413240655.84,16706002623.11,115407201.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33708383067.72
2017-06-30,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,,0.00,17427134606.30,31292110.07,2070262395.24,22361551736.63,134174137.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42024414986.21
2017-06-30,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,,0.00,16742454247.23,29541238.67,1973145876.52,21670448130.42,130479320.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40546068813.46
2017-06-30,DefaultFund,ICEU_CDS,HouseIM_PreHaircut,EUR,,0.00,2146908551.15,1118210.77,194804285.76,2727341402.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5070172450.40
2017-06-30,DefaultFund,ICEU_CDS,HouseIM_PostHaircut,EUR,,0.00,2099107125.11,1087735.46,184762413.06,2641822600.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4926779874.42
2017-06-30,DefaultFund,ICEU_CDS,ClientIM_PreHaircut,EUR,,0.00,468639265.85,202850.64,60381813.91,68366232.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597590162.84
2017-06-30,DefaultFund,ICEU_CDS,ClientIM_PostHaircut,EUR,,0.00,465037070.79,200481.85,56761623.25,66491628.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588490803.95
2017-06-30,DefaultFund,ICEU_CDS,TotalIM_PreHaircut,EUR,,0.00,2615547817.00,1321061.41,255186099.67,2795707635.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5667762613.24
2017-06-30,DefaultFund,ICEU_CDS,TotalIM_PostHaircut,EUR,,0.00,2564144195.90,1288217.31,241524036.31,2708314228.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5515270678.37